"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_通称","名称_英語","文化財分類","種類","場所名称","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","員数（数）","員数（単位）","法人番号","所有者等","文化財指定日","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","画像","画像_ライセンス","概要","概要_英語","説明","説明_英語","URL","備考"
"132152","132152100038","国立市","谷保天満宮神楽殿附棟札","ヤボテンマングウカグラデンツケタリムナフダ","","","国立市登録有形文化財","建造物","谷保天満宮","132152","","東京都国立市谷保5209","東京都","国立市","谷保","5209","","35.679566","139.443889","","","","","","","","1860011","","","5012405000412","宗教法人谷保天満宮","2010-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1569811668248.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100039","国立市","旧日本興業銀行クラブハウス","キュウニホンコウギョウギンコウクラブハウス","","","国立市登録有形文化財","建造物","非公開","132152","","東京都国立市非公開","東京都","国立市","","非公開","","","","","","","","","","","","","","","個人","2012-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1569811668248.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100040","国立市","滝乃川学園鐘楼附鐘","タキノガワガクエンショウリョウツケタリカネ","","","国立市登録有形文化財","建造物","滝乃川学園","132152","","東京都国立市矢川3-16-1","東京都","国立市","矢川3丁目","16-1","","35.680437","139.429818","","","","","","","","1860015","","","1012405000085","社会福祉法人滝乃川学園","2015-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1569811668248.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100041","国立市","旧野島家住宅","キュウノジマケジュウタク","","","国立市登録有形文化財","建造物","ル・ヴァン・ド・ヴェール","132152","","東京都国立市中1-16-35","東京都","国立市","中1丁目","16-35","","35.697226","139.446262","","","","","","","","1860004","","","","個人","2018-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1569811668248.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100042","国立市","津戸三郎為守画像","ツドサブロウタメモリガゾウ","","","国立市登録有形文化財","絵画","谷保天満宮","132152","","東京都国立市谷保5209","東京都","国立市","谷保","5209","","35.679363","139.44395","","","","","","","","1860011","","","5012405000412","宗教法人谷保天満宮","2014-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1463551229709.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100043","国立市","十一面観音坐像","ジュウイチメンカンノンザゾウ","","","国立市登録有形文化財","彫刻","非公開","132152","","東京都国立市非公開","東京都","国立市","","非公開","","","","","","","","","","","","","","","青柳稲荷神社","1999-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1569811892231.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100044","国立市","開山像","カイザンゾウ","","","国立市登録有形文化財","彫刻","非公開","132152","","東京都国立市非公開","東京都","国立市","","非公開","","","","","","","","","","","","","","2012405000365","宗教法人南養寺","1999-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1569811892231.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100045","国立市","古社八幡宮御正体","コシャハチマングウゴセイタイ","","","国立市登録有形文化財","彫刻","非公開","132152","","東京都国立市非公開","東京都","国立市","","非公開","","","","","","","","","","","","","","","個人","1999-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1569811892231.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100046","国立市","阿弥陀如来坐像","アミダニョライザゾウ","","","国立市登録有形文化財","彫刻","谷保天満宮","132152","","東京都国立市谷保5209","東京都","国立市","谷保","5209","","35.679363","139.44395","","","","","","","","1860011","","","5012405000412","宗教法人谷保天満宮","2000-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1569811892231.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100047","国立市","金剛界大日如来坐像","コンゴウカイダイニチニョライザゾウ","","","国立市登録有形文化財","彫刻","谷保天満宮","132152","","東京都国立市谷保5209","東京都","国立市","谷保","5209","","35.679363","139.44395","","","","","","","","1860011","","","5012405000412","宗教法人谷保天満宮","2000-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1569811892231.html","公開状況については、国立市ホームページをご確認ください。"
